k,question_number,question,gold_answer,prediction,f1,retrieved_docs
1,0,who are the basques and where do they live,Basques The Basques (/bɑːsks/ or /bæsks/; Basque: euskaldunak [eus̺kaldunak]; Spanish:,Basques The Basques (/ˈbɛlə�,0.375,"['The Statistics Portugal (Portuguese: INE - Instituto Nacional de Estatística) estimates that, according to the 2011 census, the population was 10,562,178 (of which 52% was female, 48% was male). This population has been relatively homogeneous for most of its history: a single religion (Catholicism) and a single language have contributed to this ethnic and national unity, namely after the expulsion of the Moors and Jews. A considerable number of Moors and Jews, nevertheless, stayed in Portugal, under the condition that they converted to Catholicism, and afterwards they were known as Mouriscos (former Muslims) and Cristãos Novos (New Christians or former Jews) some of whom may have continued to observe rabbinic Judaism in secret, as in the case of the secret Jews of Belmonte, who now observe the Jewish faith openly. After 1772 the distinction between Old and New Christians was abolished by decree. Some famous Portuguese New Christians were the mathematician Pedro Nunes and the physician and naturalist Garcia de Orta.']"
1,1,where does the name led zeppelin come from,Led Zeppelin The band completed the Scandinavian tour as the,Led Zeppelin Led Zeppelin is a Britishppelin-themedppelin-,0.2857142857142857,"['The term was created in 1920 by Hans Winkler, professor of botany at the University of Hamburg, Germany. The Oxford Dictionary suggests the name to be a blend of the words gene and chromosome. However, see omics for a more thorough discussion. A few related -ome words already existed—such as biome, rhizome, forming a vocabulary into which genome fits systematically.']"
1,2,where is the heart located in the rib cage,Thorax The anatomy of the chest can also be described," rib cage The rib cage, also known as the",0.13333333333333333,"['Domestic dogs have been selectively bred for millennia for various behaviors, sensory capabilities, and physical attributes. Modern dog breeds show more variation in size, appearance, and behavior than any other domestic animal. Dogs are predators and scavengers, and like many other predatory mammals, the dog has powerful muscles, fused wrist bones, a cardiovascular system that supports both sprinting and endurance, and teeth for catching and tearing.']"
1,3,who sings everybody in the club get tipsy,"Tipsy (song) ""Tipsy"" is a record by American rapper J-Kwon."," Party (song) ""Everybody in the Club"" is a song",0.23529411764705882,"['Kanye Omari West (/ˈkɑːnjeɪ/; born June 8, 1977) is an American hip hop recording artist, record producer, rapper, fashion designer, and entrepreneur. He is among the most acclaimed musicians of the 21st century, attracting both praise and controversy for his work and his outspoken public persona.']"
1,4,how many mg of thc to test positive,Cannabis drug testing The main metabolite excreted in the urine," blood test For most tests, blood test results are",0.0,['Solar water disinfection (SODIS) involves exposing water-filled plastic polyethylene terephthalate (PET) bottles to sunlight for several hours. Exposure times vary depending on weather and climate from a minimum of six hours to two days during fully overcast conditions. It is recommended by the World Health Organization as a viable method for household water treatment and safe storage. Over two million people in developing countries use this method for their daily drinking water.']
1,5,when did the roman capital moved to constantinople,Constantinople Constantinople (Greek: Κωνσταντινούπολις Kōnstantinoúpolis; Latin: Cōnstantīnopolis) was the capital,ople Constantinople (/ˈtɛnəˌn�,0.11764705882352941,"[""New York City traces its roots to its 1624 founding as a trading post by colonists of the Dutch Republic and was named New Amsterdam in 1626. The city and its surroundings came under English control in 1664. New York served as the capital of the United States from 1785 until 1790. It has been the country's largest city since 1790. The Statue of Liberty greeted millions of immigrants as they came to the Americas by ship in the late 19th and early 20th centuries and is a globally recognized symbol of the United States and its democracy.""]"
1,6,what is obtaining property by false pretense in nc,False pretenses The elements of false pretenses are: (1) a," false Pretense In North Carolina, a person can submit",0.125,"[""Individual contestants have generated controversy in this competition for their past actions, or for being 'ringers' planted by the producers. A number of contestants had been disqualified for various reasons, such as for having an existing contract or undisclosed criminal records, although the show had been accused of double standard for disqualifying some but not others.""]"
1,7,who is the chief executive of the state of florida,Government of Florida The Governor of Florida is the chief, Governor of Florida The Chief Executive of Florida is,0.875,"[""In parliamentary systems fashioned after the Westminster system, the prime minister is the presiding and actual head of government and head of the executive branch. In such systems, the head of state or the head of state's official representative (i.e. the monarch, president, or governor-general) usually holds a largely ceremonial position, although often with reserve powers.""]"
1,8,who play mary poppins in mary poppins returns,Mary Poppins Returns Mary Poppins Returns is an upcoming American," Holloway Mary Holloway (born October 28, 1963) is an",0.23529411764705882,"['West has been an outspoken and controversial celebrity throughout his career, receiving both criticism and praise from many, including the mainstream media, other artists and entertainers, and two U.S. presidents. On September 2, 2005, during a benefit concert for Hurricane Katrina relief on NBC, A Concert for Hurricane Relief, West (a featured speaker) accused President George W. Bush of not ""car[ing] about black people"". When West was presenting alongside actor Mike Myers, he deviated from the prepared script to criticize the media\'s portrayal of hurricane victims, saying:']"
1,9,last time the jags went to the playoffs,Jacksonville Jaguars The Jaguars and the Carolina Panthers joined the,Jags–Jaguars rivalry The Jagsâ€™s,0.16666666666666666,"['For five consecutive seasons, starting in season seven, the title was given to a white male who plays the guitar – a trend that Idol pundits call the ""White guy with guitar"" or ""WGWG"" factor. Just hours before the season eleven finale, where Phillip Phillips was named the winner, Richard Rushfield, author of the book American Idol: The Untold Story, said, ""You have this alliance between young girls and grandmas and they see it, not necessarily as a contest to create a pop star competing on the contemporary radio, but as .... who\'s the nicest guy in a popularity contest,"" he says, ""And that has led to this dynasty of four, and possibly now five, consecutive, affable, very nice, good-looking white boys.""']"
